rank,candidate
1,input
2,classical_shadow_0.40
3,docres_deshadow
4,docres_classical040_blend_0.85
5,docres_appearance
6,docres_binarization
7,docres_classical040_blend_0.80
8,docres_classical040_blend_0.90
9,docres_classical040_blend_0.70
10,docres_classical040_blend_0.95
11,classical_shadow_0.25
12,docres_input_blend_0.70
13,docres_input_blend_0.95
14,docres_input_blend_0.90
15,classical_shadow_0.70
16,docres_input_blend_0.80
17,classical_shadow_0.55
18,binary_docres_blend_0.90
19,docres_input_blend_0.85
20,binary_input_blend_0.90
21,binary_input_blend_0.75
22,binary_docres_blend_0.75
