idx,candidate_name
1,input
2,classical_shadow_0.25
3,classical_shadow_0.40
4,classical_shadow_0.55
5,classical_shadow_0.70
6,docres_deshadow
7,docres_classical040_blend_0.70
8,docres_input_blend_0.70
9,docres_classical040_blend_0.80
10,docres_input_blend_0.80
11,docres_classical040_blend_0.85
12,docres_input_blend_0.85
13,docres_classical040_blend_0.90
14,docres_input_blend_0.90
15,docres_classical040_blend_0.95
16,docres_input_blend_0.95
17,docres_appearance
18,docres_binarization
19,binary_input_blend_0.75
20,binary_docres_blend_0.75
21,binary_input_blend_0.90
22,binary_docres_blend_0.90
