comparison,metric,n,mean_delta,ci_low,ci_high,paired_t_p,wilcoxon_p,win_rate
mixeddoc val: raw_prior vs evidence,PSNR,377,0.059041136793575595,-0.002976557437056529,0.13226814984838592,0.08525578216586598,0.052645849963518045,0.15384615384615385
mixeddoc val: raw_prior vs evidence,SSIM,377,0.0005213694958218846,-0.00010315157690478256,0.001140260437518279,0.10001708603586937,0.12261035339109896,0.14854111405835543
mixeddoc val: raw_prior vs evidence,VCCRP,377,0.001578191015267443,-0.0019034363690736693,0.005468902453104755,0.40591135919146226,0.8217246826731343,0.129973474801061
mixeddoc val: raw_prior vs evidence,Harm,377,0.005305039787798408,-0.005305039787798408,0.015915119363395226,0.31795361894924185,0.31731050786291415,0.002652519893899204
mixeddoc val: compat_prior vs evidence,PSNR,377,0.07861054316664716,0.009325390878306285,0.15842260655824217,0.03858102151725409,0.06532774897469715,0.18037135278514588
mixeddoc val: compat_prior vs evidence,SSIM,377,0.0006850465381177098,5.323901495819699e-05,0.001325575493533035,0.03510863730301583,0.033440659808201066,0.18037135278514588
mixeddoc val: compat_prior vs evidence,VCCRP,377,0.00042148896685564007,-0.003289215769126273,0.0045044571399570415,0.8322437328043278,0.9767290706456027,0.14588859416445624
mixeddoc val: compat_prior vs evidence,Harm,377,0.007957559681697613,-0.007957559681697613,0.023872679045092837,0.3179536189492419,0.31731050786291415,0.007957559681697613
mixeddoc val: compat_prior vs raw_prior,PSNR,377,0.019569406373071568,-0.009857465788908282,0.054485574567270226,0.23855151446152256,0.907348397870983,0.09283819628647215
mixeddoc val: compat_prior vs raw_prior,SSIM,377,0.00016367704229582525,-1.7837557536537515e-05,0.0003711964114907565,0.10332558340683594,0.3343942322149971,0.09549071618037135
mixeddoc val: compat_prior vs raw_prior,VCCRP,377,-0.0011567020484118031,-0.0028015187687721018,0.00022699834885535217,0.134792334507519,0.768465655836488,0.07692307692307693
mixeddoc val: compat_prior vs raw_prior,Harm,377,0.002652519893899204,-0.007957559681697613,0.015915119363395226,0.6553210088057546,0.6547208460185769,0.005305039787798408
mixeddoc test: raw_prior vs evidence,PSNR,377,0.0001850339518919532,-0.05906470682480418,0.05976959642840911,0.995144631465354,0.8291032168362968,0.1220159151193634
mixeddoc test: raw_prior vs evidence,SSIM,377,0.0008038481801194917,0.00029872320839438577,0.001386686387800411,0.004359428951568961,0.014948514476926243,0.14058355437665782
mixeddoc test: raw_prior vs evidence,VCCRP,377,-0.0038156965046457895,-0.00635846546513251,-0.0015722632714461802,0.0021133779197457497,0.016788823689041766,0.1246684350132626
mixeddoc test: raw_prior vs evidence,Harm,377,-0.002652519893899204,-0.015915119363395226,0.010610079575596816,0.7059895188406939,0.7054569861112734,0.010610079575596816
mixeddoc test: compat_prior vs evidence,PSNR,377,0.055987519657284025,-0.015747238428743857,0.1383181269082178,0.15747364854287363,0.03298284203880883,0.18037135278514588
mixeddoc test: compat_prior vs evidence,SSIM,377,0.0009238211640628642,0.0004146048359434548,0.0015119481742856351,0.0011915608057978186,0.0008578280898018067,0.1962864721485411
mixeddoc test: compat_prior vs evidence,VCCRP,377,-0.003407991224756765,-0.0062149064937269734,-0.000841980537258077,0.013266641711114574,0.4132400813833613,0.14588859416445624
mixeddoc test: compat_prior vs evidence,Harm,377,-0.005305039787798408,-0.021220159151193633,0.007957559681697613,0.4802296885795011,0.47950012218695337,0.013262599469496022
mixeddoc test: compat_prior vs raw_prior,PSNR,377,0.05580248570539208,0.01095350348089047,0.1218801429323023,0.05659256103901014,0.008352062589712276,0.11936339522546419
mixeddoc test: compat_prior vs raw_prior,SSIM,377,0.00011997298394337258,-4.5813775228568666e-05,0.00029605885211684657,0.17136009201498845,0.09897609797686682,0.11140583554376658
mixeddoc test: compat_prior vs raw_prior,VCCRP,377,0.0004077052798890246,-0.0010007952794032124,0.0018169033133062626,0.5724077217983432,0.11099854984341755,0.08222811671087533
mixeddoc test: compat_prior vs raw_prior,Harm,377,-0.002652519893899204,-0.007957559681697613,0.0,0.3179536189492419,0.31731050786291415,0.002652519893899204
osr val: raw_prior vs evidence,PSNR,46,0.06383157964468447,-0.007867042117525768,0.16024734905119997,0.1544054754890805,0.13801073756865956,0.08695652173913043
osr val: raw_prior vs evidence,SSIM,46,-0.0001131594181060791,-0.000376367018274639,0.00015759079352669093,0.41668385547587805,0.5001842570707944,0.021739130434782608
osr val: raw_prior vs evidence,VCCRP,46,-0.002314425582674312,-0.004630407863394855,-0.0005932362716374804,0.03846187681091703,0.043114446783075355,0.10869565217391304
osr val: raw_prior vs evidence,Harm,46,0.021739130434782608,0.0,0.06521739130434782,0.32265765224996135,0.31731050786291415,0.0
osr val: compat_prior vs evidence,PSNR,46,0.062192885674339594,-0.00976729523197491,0.1588105139836294,0.16580470737015013,0.17295491798842066,0.08695652173913043
osr val: compat_prior vs evidence,SSIM,46,-0.0001706131126569665,-0.00045646837224131044,0.0001203378905420718,0.25682825979922225,0.3454475304692257,0.021739130434782608
osr val: compat_prior vs evidence,VCCRP,46,-0.002837911194508847,-0.005347532157322609,-0.0008344202944114351,0.02059147446761728,0.027707849358079864,0.13043478260869565
osr val: compat_prior vs evidence,Harm,46,0.021739130434782608,0.0,0.06521739130434782,0.32265765224996135,0.31731050786291415,0.0
osr val: compat_prior vs raw_prior,PSNR,46,-0.0016386939703448796,-0.0049160819110346385,0.0,0.32265765224996135,0.31731050786291415,0.0
osr val: compat_prior vs raw_prior,SSIM,46,-5.74536945508874e-05,-0.0001723610836526622,0.0,0.3226576522499611,0.31731050786291415,0.0
osr val: compat_prior vs raw_prior,VCCRP,46,-0.0005234856118345352,-0.0015704568355036056,0.0,0.32265765224996146,0.31731050786291415,0.021739130434782608
osr val: compat_prior vs raw_prior,Harm,46,0.0,0.0,0.0,nan,nan,0.0
