dataset,split,method,n,psnr,ssim,vccrp,harm_rate,gap_to_oracle,selected_counts
mixeddoc,train,evidence,1083,20.92477128726342,0.7386374365012072,0.19106767507270253,0.05263157894736842,0.20815458770929643,"[[""docres_deshadow"", 453], [""region_controller"", 160], [""docres_classical040_blend_0.90"", 119], [""input"", 113], [""docres_input_blend_0.90"", 91], [""classical_shadow_0.40"", 80], [""docres_input_blend_0.80"", 67]]"
mixeddoc,train,raw_prior,1083,21.017855793166376,0.7394386406227712,0.18749600671151542,0.038781163434903045,0.11507008180634436,"[[""docres_deshadow"", 502], [""input"", 157], [""region_controller"", 126], [""docres_input_blend_0.90"", 90], [""docres_classical040_blend_0.90"", 81], [""classical_shadow_0.40"", 76], [""docres_input_blend_0.80"", 51]]"
mixeddoc,train,compat_prior,1083,21.02722378687987,0.7395134277621135,0.187426529550202,0.036011080332409975,0.10570208809285019,"[[""docres_deshadow"", 517], [""input"", 167], [""region_controller"", 113], [""docres_input_blend_0.90"", 91], [""classical_shadow_0.40"", 74], [""docres_classical040_blend_0.90"", 66], [""docres_input_blend_0.80"", 55]]"
mixeddoc,val,evidence,377,21.066230651023265,0.7479429151912267,0.18350644183535328,0.10610079575596817,0.5801161768466806,"[[""docres_deshadow"", 163], [""region_controller"", 63], [""docres_classical040_blend_0.90"", 56], [""docres_input_blend_0.80"", 40], [""input"", 24], [""docres_input_blend_0.90"", 17], [""classical_shadow_0.40"", 14]]"
mixeddoc,val,raw_prior,377,21.125271787816843,0.7484642846870485,0.18508463285062068,0.11140583554376658,0.521075040053105,"[[""docres_deshadow"", 163], [""region_controller"", 65], [""docres_classical040_blend_0.90"", 57], [""docres_input_blend_0.80"", 34], [""input"", 29], [""docres_input_blend_0.90"", 19], [""classical_shadow_0.40"", 10]]"
mixeddoc,val,compat_prior,377,21.14484119418991,0.7486279617293444,0.1839279308022089,0.11405835543766578,0.5015056336800334,"[[""docres_deshadow"", 171], [""region_controller"", 58], [""docres_classical040_blend_0.90"", 45], [""docres_input_blend_0.80"", 36], [""input"", 33], [""docres_input_blend_0.90"", 25], [""classical_shadow_0.40"", 9]]"
mixeddoc,test,evidence,377,20.404994490372616,0.732046091430067,0.19762093644831763,0.1273209549071618,0.43655184082782716,"[[""docres_deshadow"", 172], [""region_controller"", 74], [""docres_classical040_blend_0.90"", 44], [""docres_input_blend_0.80"", 37], [""input"", 19], [""docres_input_blend_0.90"", 16], [""classical_shadow_0.40"", 15]]"
mixeddoc,test,raw_prior,377,20.405179524324506,0.7328499396101865,0.19380523994367188,0.1246684350132626,0.4363668068759353,"[[""docres_deshadow"", 168], [""region_controller"", 63], [""docres_classical040_blend_0.90"", 44], [""docres_input_blend_0.80"", 44], [""input"", 32], [""classical_shadow_0.40"", 13], [""docres_input_blend_0.90"", 13]]"
mixeddoc,test,compat_prior,377,20.4609820100299,0.7329699125941299,0.1942129452235609,0.1220159151193634,0.38056432117054323,"[[""docres_deshadow"", 178], [""region_controller"", 61], [""docres_input_blend_0.80"", 42], [""docres_classical040_blend_0.90"", 34], [""input"", 32], [""docres_input_blend_0.90"", 18], [""classical_shadow_0.40"", 12]]"
osr,train,evidence,191,19.5699749524837,0.9452935232541948,0.11592659222865882,0.04712041884816754,0.1397361103809583,"[[""shadow_0.30"", 87], [""shadow_0.40"", 61], [""shadow_0.50"", 22], [""input"", 20], [""shadow_0.60"", 1]]"
osr,train,raw_prior,191,19.590199176832442,0.9453155545039951,0.11527447053658728,0.031413612565445025,0.11951188603221959,"[[""shadow_0.30"", 85], [""shadow_0.40"", 62], [""shadow_0.50"", 22], [""input"", 21], [""shadow_0.60"", 1]]"
osr,train,compat_prior,191,19.595892563995196,0.9453239690570931,0.11647040249399562,0.03664921465968586,0.11381849886946367,"[[""shadow_0.30"", 88], [""shadow_0.40"", 60], [""shadow_0.50"", 23], [""input"", 20]]"
osr,val,evidence,46,19.55441860309212,0.9433394061482471,0.1279575971800698,0.043478260869565216,0.5128512593035804,"[[""shadow_0.30"", 24], [""shadow_0.40"", 15], [""shadow_0.50"", 6], [""input"", 1]]"
osr,val,raw_prior,46,19.618250182736805,0.943226246730141,0.12564317159739552,0.06521739130434782,0.44901967965889605,"[[""shadow_0.30"", 25], [""shadow_0.40"", 12], [""shadow_0.50"", 6], [""input"", 3]]"
osr,val,compat_prior,46,19.616611488766463,0.9431687930355901,0.12511968598556097,0.06521739130434782,0.45065837362924094,"[[""shadow_0.30"", 25], [""shadow_0.40"", 13], [""shadow_0.50"", 5], [""input"", 3]]"
