"method","n","psnr","ssim","vccrp"
"Input","113","15.539674616660859","0.8286340228751697","0.007964601958900839"
"Best Classical / shadow-0.40","113","20.093066838242418","0.867585315904786","0.273182945403956"
"DocRes deshadow","113","24.112615425671162","0.8802506588729082","0.36066838979127985"
"Best fixed blend / DocRes-classical 0.85","113","24.576048848853397","0.882193183476946","0.3647958605663326"
"DocRes appearance","113","14.207091632505417","0.831931928354027","0.47599112656500936"
"DocRes binarization","113","11.206127145100712","0.6650022695549821","0.7162605559684145"
"Evidence-only HistRestore (fixed candidate bank)","113","24.46201955723818","0.8800404549172495","0.3733323277666524"
"Evidence-only HistRestore (expanded candidate bank)","113","24.682490064671523","0.8809181164323756","0.3684055240464616"
"Distilled-prior HistRestore (expanded candidate bank)","113","25.006401586467433","0.8881767481829212","0.3708262957293851"
"Full HistRestore","113","24.88397911912795","0.8849035332688188","0.3748715659542801"
"Oracle / evidence-only and distilled-prior pair","113","25.174159605156408","0.8909171279025289","0.3737138129231611"
"Oracle / expanded candidate bank","113","26.088432113281094","0.8966451885953414","0.351312952944781"
