comparison,metric,n,mean_delta,ci95_low,ci95_high,paired_t_p,wilcoxon_p,wins,losses,ties,win_rate
test GBDT compat_balanced vs raw_prior,PSNR,377,-0.022302694516806932,-0.0477934771184451,-0.0017527943431640354,0.05711695285902069,0.08583095844428565,3,6,368,0.007957559681697613
test GBDT compat_balanced vs raw_prior,SSIM,377,-0.0004231447566409326,-0.0008709772116941863,-9.772022222650551e-05,0.03276964041656807,0.010862224704815628,1,8,368,0.002652519893899204
test GBDT compat_balanced vs raw_prior,VCCRP,377,-0.0020043983057327183,-0.004170361435576892,-0.00031748570018678106,0.042137643139051405,0.038151710173415135,7,2,368,0.01856763925729443
test GBDT compat_balanced vs raw_prior,Harm,377,0.010610079575596816,0.002652519893899204,0.021220159151193633,0.045355282783607495,0.04550026389635839,0,4,373,0.0
test GBDT compat_balanced vs raw_prior,Oracle gap,377,0.022302694516806932,0.0017527943431640005,0.04779347711844509,0.05711695285902069,0.08583095844428565,3,6,368,0.007957559681697613
test ExtraTrees compat_balanced vs raw_prior,PSNR,377,-0.012524114718023182,-0.05097760244917916,0.02172668142938458,0.5004469407930154,0.24886387493792206,1,5,371,0.002652519893899204
test ExtraTrees compat_balanced vs raw_prior,SSIM,377,0.0005172326647002121,-3.188801064731588e-05,0.0012909124953677231,0.14091211152797004,0.17295491798842066,4,2,371,0.010610079575596816
test ExtraTrees compat_balanced vs raw_prior,VCCRP,377,0.0015390592817372145,0.00027010738294769293,0.003086795901043626,0.03328822877207635,0.027707849358079864,0,6,371,0.0
test ExtraTrees compat_balanced vs raw_prior,Harm,377,-0.002652519893899204,-0.007957559681697613,0.0,0.31795361894924185,0.31731050786291415,1,0,376,0.002652519893899204
test ExtraTrees compat_balanced vs raw_prior,Oracle gap,377,0.012524114718023182,-0.02172668142938458,0.05097760244917916,0.5004469407930154,0.24886387493792206,1,5,371,0.002652519893899204
test GBDT compat_balanced vs mmdir_official,PSNR,377,0.12539751361715343,0.01157270067482189,0.24902267443888937,0.0396157628346827,0.0520227725687883,17,9,351,0.04509283819628647
test GBDT compat_balanced vs mmdir_official,SSIM,377,-0.0003642465138625087,-0.0013117610341041727,0.0004914193673538589,0.43173466232734803,0.7897165079739374,13,13,351,0.034482758620689655
test GBDT compat_balanced vs mmdir_official,VCCRP,377,-0.007782577202770236,-0.011098813267108052,-0.0047482285523418695,2.994952976840345e-06,9.338596171049022e-06,25,1,351,0.06631299734748011
test GBDT compat_balanced vs mmdir_official,Harm,377,0.023872679045092837,0.010610079575596816,0.03978779840848806,0.002594172410012311,0.0026997960632601866,0,9,368,0.0
test GBDT compat_balanced vs mmdir_official,Oracle gap,377,-0.12539751361715343,-0.24902267443888945,-0.011572700674821971,0.0396157628346827,0.0520227725687883,17,9,351,0.04509283819628647
test ExtraTrees compat_balanced vs mmdir_official,PSNR,377,0.14125694306143297,0.03662635933727778,0.2568563280457,0.012362651571278334,0.01306396083306817,13,3,361,0.034482758620689655
test ExtraTrees compat_balanced vs mmdir_official,SSIM,377,0.00024425698844444217,-0.00043967761079575715,0.000879614288357904,0.46750390251937135,0.32587002429697964,11,5,361,0.029177718832891247
test ExtraTrees compat_balanced vs mmdir_official,VCCRP,377,-0.004838563875417359,-0.007538640860714678,-0.0024398996866851386,0.00022272240595262453,0.0005312427827532942,15,1,361,0.03978779840848806
test ExtraTrees compat_balanced vs mmdir_official,Harm,377,0.007957559681697613,0.0,0.01856763925729443,0.0832634231869064,0.0832645166635504,0,3,374,0.0
test ExtraTrees compat_balanced vs mmdir_official,Oracle gap,377,-0.14125694306143297,-0.2568563280457,-0.03662635933727779,0.012362651571278334,0.01306396083306817,13,3,361,0.034482758620689655
test GBDT raw_prior vs mmdir_official,PSNR,377,0.14770020813396034,0.03813559439970956,0.26811558804507674,0.01189123085726662,0.009996388475979442,15,5,357,0.03978779840848806
test GBDT raw_prior vs mmdir_official,SSIM,377,5.889824277842393e-05,-0.0007974107440966193,0.0008127845843527604,0.8860217256141587,0.39053287003351767,13,7,357,0.034482758620689655
test GBDT raw_prior vs mmdir_official,VCCRP,377,-0.005778178897037517,-0.008624031180098524,-0.0032335199908419382,3.557569928017628e-05,0.00010334649564653764,19,1,357,0.050397877984084884
test GBDT raw_prior vs mmdir_official,Harm,377,0.013262599469496022,0.002652519893899204,0.026525198938992044,0.02515131810111864,0.025347318677468252,0,5,372,0.0
test GBDT raw_prior vs mmdir_official,Oracle gap,377,-0.14770020813396034,-0.26811558804507674,-0.0381355943997097,0.01189123085726662,0.009996388475979442,15,5,357,0.03978779840848806
test ExtraTrees raw_prior vs mmdir_official,PSNR,377,0.15378105777945617,0.04342188863974494,0.27522952665703015,0.009636797231003571,0.007838221652520782,17,4,356,0.04509283819628647
test ExtraTrees raw_prior vs mmdir_official,SSIM,377,-0.00027297567625577003,-0.0012814312066576526,0.0006085867472289397,0.57479235749197,0.9031748075260909,12,9,356,0.03183023872679045
test ExtraTrees raw_prior vs mmdir_official,VCCRP,377,-0.006377623157154574,-0.009383653370924087,-0.0036644101496087766,1.870021479892074e-05,6.898751069615867e-05,20,1,356,0.05305039787798409
test ExtraTrees raw_prior vs mmdir_official,Harm,377,0.010610079575596816,0.002652519893899204,0.021220159151193633,0.045355282783607495,0.04550026389635839,0,4,373,0.0
test ExtraTrees raw_prior vs mmdir_official,Oracle gap,377,-0.15378105777945617,-0.2752295266570304,-0.04342188863974504,0.009636797231003571,0.007838221652520782,17,4,356,0.04509283819628647
