split,method,n,psnr,ssim,vccrp,harm_rate,oracle_gap,leave_mmdir_pages,leave_mmdir_rate,selected_counts
test,mmdir_official,377,27.51955170466982,0.9479105200628387,0.4363546763235442,0.0,0.339220246981772,0,0.0,"[[""mmdir_official"", 377]]"
test,oracle,377,27.858771951651594,0.9459275827799931,0.4230542429512417,0.0,0.0,36,0.09549071618037135,"[[""mmdir_official"", 341], [""docres_deshadow"", 21], [""input_degraded"", 9], [""classical_shadow_0.40"", 3], [""region_controller"", 2], [""docres_input_blend_0.80"", 1]]"
test,gbdt_raw_prior,377,27.667251912803778,0.9479694183056171,0.4305764974265068,0.013262599469496022,0.19152003884781169,20,0.05305039787798409,"[[""mmdir_official"", 357], [""docres_deshadow"", 12], [""input_degraded"", 4], [""docres_input_blend_0.90"", 2], [""docres_input_blend_0.80"", 1], [""docres_classical040_blend_0.90"", 1]]"
test,gbdt_compat_balanced,377,27.644949218286975,0.9475462735489761,0.428572099120774,0.023872679045092837,0.21382273336461863,26,0.06896551724137931,"[[""mmdir_official"", 351], [""docres_deshadow"", 15], [""input_degraded"", 5], [""docres_input_blend_0.80"", 2], [""docres_input_blend_0.90"", 2], [""region_controller"", 1], [""docres_classical040_blend_0.90"", 1]]"
test,extratrees_raw_prior,377,27.673332762449274,0.9476375443865829,0.4299770531663897,0.010610079575596816,0.1854391892023159,21,0.05570291777188329,"[[""mmdir_official"", 356], [""docres_deshadow"", 12], [""input_degraded"", 5], [""docres_input_blend_0.90"", 4]]"
test,extratrees_compat_balanced,377,27.660808647731255,0.9481547770512831,0.43151611244812693,0.007957559681697613,0.19796330392033906,16,0.042440318302387266,"[[""mmdir_official"", 361], [""docres_deshadow"", 9], [""input_degraded"", 4], [""docres_input_blend_0.90"", 2], [""classical_shadow_0.40"", 1]]"
train,mmdir_official,1083,27.458646048689374,0.9468641823788869,0.44275634520460316,0.0,0.44609108683134163,0,0.0,"[[""mmdir_official"", 1083]]"
train,oracle,1083,27.904737135520715,0.9464755921262563,0.42878738856429005,0.0,0.0,105,0.09695290858725762,"[[""mmdir_official"", 978], [""docres_deshadow"", 57], [""input_degraded"", 29], [""docres_input_blend_0.80"", 7], [""region_controller"", 5], [""docres_input_blend_0.90"", 3], [""classical_shadow_0.40"", 3], [""docres_classical040_blend_0.90"", 1]]"
train,gbdt_raw_prior,1083,27.873270709946457,0.9467545178678447,0.4303140597631231,0.0018467220683287165,0.03146642557425858,101,0.09325946445060018,"[[""mmdir_official"", 982], [""docres_deshadow"", 63], [""input_degraded"", 19], [""docres_input_blend_0.80"", 7], [""region_controller"", 6], [""docres_input_blend_0.90"", 3], [""classical_shadow_0.40"", 2], [""docres_classical040_blend_0.90"", 1]]"
train,gbdt_compat_balanced,1083,27.893617042615844,0.9466941682475646,0.429494873832865,0.0018467220683287165,0.01112009290487073,103,0.0951061865189289,"[[""mmdir_official"", 980], [""docres_deshadow"", 59], [""input_degraded"", 23], [""docres_input_blend_0.80"", 8], [""region_controller"", 5], [""classical_shadow_0.40"", 4], [""docres_input_blend_0.90"", 3], [""docres_classical040_blend_0.90"", 1]]"
train,extratrees_raw_prior,1083,27.898088622954116,0.9464996234201658,0.42867696445712783,0.0009233610341643582,0.006648512566600146,106,0.09787626962142197,"[[""mmdir_official"", 977], [""docres_deshadow"", 53], [""input_degraded"", 24], [""docres_input_blend_0.80"", 7], [""docres_input_blend_0.90"", 7], [""classical_shadow_0.40"", 6], [""docres_classical040_blend_0.90"", 5], [""region_controller"", 4]]"
train,extratrees_compat_balanced,1083,27.899858969155446,0.9465034278806227,0.428669782925248,0.0009233610341643582,0.004878166365272394,106,0.09787626962142197,"[[""mmdir_official"", 977], [""docres_deshadow"", 54], [""input_degraded"", 24], [""region_controller"", 6], [""docres_input_blend_0.80"", 6], [""docres_input_blend_0.90"", 6], [""classical_shadow_0.40"", 6], [""docres_classical040_blend_0.90"", 4]]"
