split,method,n,psnr,ssim,risk,gain_vs_mmdir,risk_vs_mmdir,gap_to_oracle,harm_vs_mmdir
test,input_degraded,377,17.027406720330923,0.7044931455893289,1.0641111996861391e-11,-10.492144984338896,-0.4363546763129031,10.83136523132067,0.9655172413793104
test,classical_shadow_0.40,377,17.60411324597383,0.7086895298538853,0.10421659260141716,-9.915438458695993,-0.3321380837221271,10.254658705677764,0.9787798408488063
test,docres_deshadow,377,20.272488479037403,0.7314456487840303,0.2183956832962305,-7.2470632256324174,-0.21795899302731372,7.5862834726141894,0.9204244031830239
test,mmdir_official,377,27.51955170466982,0.9479105200628387,0.4363546763235442,0.0,0.0,0.339220246981772,0.0
test,histrestore_mmdir_selector,377,27.434567745905632,0.9464387640712748,0.4309587493060486,-0.08498395876418564,-0.005395927017495579,0.4242042057459577,0.03183023872679045
test,histrestore_mmdir_prior_selector,377,27.667251912803778,0.9479694183056171,0.4305764974265068,0.14770020813396034,-0.005778178897037517,0.19152003884781169,0.013262599469496022
test,oracle_mmdir_pool,377,27.858771951651594,0.9459275827799931,0.4230542429512417,0.339220246981772,-0.01330043337230257,0.0,0.0
train,input_degraded,1083,17.08621791987538,0.7090023389621014,0.00041551248498341756,-10.372428128813993,-0.4423408327196197,10.818519215645335,0.9566020313942751
train,classical_shadow_0.40,1083,17.632036906713136,0.7128930241901459,0.11043663470015916,-9.826609141976238,-0.332319710504444,10.27270022880758,0.9686057248384118
train,docres_deshadow,1083,20.42213918195235,0.7352959864797795,0.22666533349870233,-7.036506866737025,-0.2160910117059008,7.482597953568367,0.9132040627885504
train,mmdir_official,1083,27.458646048689374,0.9468641823788869,0.44275634520460316,0.0,0.0,0.44609108683134163,0.0
train,histrestore_mmdir_selector,1083,27.489504287560738,0.9466451899056509,0.43575671679280326,0.03085823887136677,-0.006999628411799957,0.41523284795997484,0.024930747922437674
train,histrestore_mmdir_prior_selector,1083,27.873270709946457,0.9467545178678447,0.4303140597631231,0.414624661257083,-0.012442285441480025,0.03146642557425858,0.0018467220683287165
train,oracle_mmdir_pool,1083,27.904737135520715,0.9464755921262563,0.42878738856429005,0.44609108683134163,-0.013968956640313045,0.0,0.0
val,input_degraded,377,17.522800639706517,0.7230520528649778,9.325925575553918e-12,-10.201439397720822,-0.4172889994650939,10.87501715976517,0.946949602122016
val,classical_shadow_0.40,377,17.955653413588095,0.7259961269420401,0.09712612617825685,-9.768586623839246,-0.32016287329616305,10.442164385883594,0.9681697612732095
val,docres_deshadow,377,21.03257314159068,0.7475737854047859,0.20586749697259774,-6.691666895836657,-0.21142150250182215,7.365244657881004,0.8912466843501327
val,mmdir_official,377,27.72424003742734,0.9490457211944722,0.41728899947441983,0.0,0.0,0.6735777620443466,0.0
val,histrestore_mmdir_selector,377,27.701377326465632,0.9485438583067937,0.4101341276406245,-0.022862710961705876,-0.007154871833795368,0.6964404730060525,0.026525198938992044
val,histrestore_mmdir_prior_selector,377,28.13157949258876,0.9507645123517166,0.40463062689873996,0.40733945516141806,-0.012658372575679833,0.2662383068829286,0.023872679045092837
val,oracle_mmdir_pool,377,28.39781779947169,0.949712909975482,0.39979103071906447,0.6735777620443466,-0.017497968755355385,0.0,0.0
