sample_id,method,candidate,clean_char_count,input_char_count,char_count,line_count,mean_conf,ocr_proxy_cer_to_clean,ocr_drift_from_input,conf_gain_vs_input,char_gain_vs_input,line_gain_vs_input
mixeddoc_00742,input,input,1302,1295,1295,86,0.8052119610134161,0.4423963133640553,0.0,0.0,0,0
mixeddoc_00742,classical_shadow_0.40,classical_shadow_0.40,1302,1295,1312,87,0.8099979810269838,0.4298780487804878,0.1448170731707317,0.0047860200135677,17,1
mixeddoc_00742,docres_deshadow,docres_deshadow,1302,1295,1271,81,0.8163067482859442,0.4086021505376344,0.115057915057915,0.0110947872725281,-24,-5
mixeddoc_00742,no_qwen_selected,docres_deshadow,1302,1295,1271,81,0.8163067482859442,0.4086021505376344,0.115057915057915,0.0110947872725281,-24,-5
mixeddoc_00742,qwen_selected,input,1302,1295,1295,86,0.8052119610134161,0.4423963133640553,0.0,0.0,0,0
mixeddoc_00887,input,input,1192,1141,1141,127,0.7404347351434607,0.3582214765100671,0.0,0.0,0,0
mixeddoc_00887,classical_shadow_0.40,classical_shadow_0.40,1192,1141,1104,119,0.74674857690595,0.3364093959731543,0.1437335670464505,0.0063138417624892,-37,-8
mixeddoc_00887,docres_deshadow,docres_deshadow,1192,1141,1132,120,0.7613381798504403,0.3011744966442953,0.2042068361086766,0.0209034447069795,-9,-7
mixeddoc_00887,no_qwen_selected,docres_input_blend_0.90,1192,1141,1148,121,0.7576656018487795,0.2911073825503356,0.2125435540069686,0.0172308667053188,7,-6
mixeddoc_00887,qwen_selected,input,1192,1141,1141,127,0.7404347351434607,0.3582214765100671,0.0,0.0,0,0
mixeddoc_01830,input,input,637,48,48,3,0.5510330983052733,0.9513343799058084,0.0,0.0,0,0
mixeddoc_01830,classical_shadow_0.40,classical_shadow_0.40,637,48,57,4,0.5423229157880304,0.9403453689167977,0.4035087719298245,-0.0087101825172428,9,1
mixeddoc_01830,docres_deshadow,docres_deshadow,637,48,118,5,0.5278940979372652,0.8932496075353218,0.7966101694915254,-0.023139000368008,70,2
mixeddoc_01830,no_qwen_selected,docres_deshadow,637,48,118,5,0.5278940979372652,0.8932496075353218,0.7966101694915254,-0.023139000368008,70,2
mixeddoc_01830,qwen_selected,docres_input_blend_0.80,637,48,70,3,0.5214630476473712,0.9372056514913658,0.7571428571428571,-0.029570050657902,22,0
mixeddoc_00170,input,input,511,466,466,32,0.7998547725353133,0.1585127201565557,0.0,0.0,0,0
mixeddoc_00170,classical_shadow_0.40,classical_shadow_0.40,511,466,469,32,0.7909650139562054,0.1487279843444227,0.0277185501066098,-0.0088897585791078,3,0
mixeddoc_00170,docres_deshadow,docres_deshadow,511,466,502,35,0.7784822641325256,0.0978473581213307,0.1035856573705179,-0.0213725084027877,36,3
mixeddoc_00170,no_qwen_selected,docres_input_blend_0.90,511,466,471,32,0.7949155306309521,0.1448140900195694,0.0509554140127388,-0.0049392419043612,5,0
mixeddoc_00170,qwen_selected,docres_deshadow,511,466,502,35,0.7784822641325256,0.0978473581213307,0.1035856573705179,-0.0213725084027877,36,3
mixeddoc_00404,input,input,415,411,411,25,0.7601161249699782,0.1108433734939759,0.0,0.0,0,0
mixeddoc_00404,classical_shadow_0.40,classical_shadow_0.40,415,411,448,25,0.7638382020635666,0.1852678571428571,0.1651785714285714,0.0037220770935884,37,0
mixeddoc_00404,docres_deshadow,docres_deshadow,415,411,455,24,0.7716754483730172,0.1384615384615384,0.1604395604395604,0.011559323403039,44,-1
