method,n,psnr,ssim,vccrp,selected_counts,seed,uses_prior
MLP evidence seed0,113,25.188236032920855,0.8897413867237294,0.36585151435075997,"[[""docres_deshadow"", 26], [""docres_classical040_blend_0.70"", 16], [""docres_input_blend_0.95"", 11], [""docres_classical040_blend_0.95"", 10], [""docres_classical040_blend_0.80"", 9], [""input"", 7], [""docres_classical040_blend_0.85"", 7], [""docres_classical040_blend_0.90"", 4], [""classical_shadow_0.70"", 3], [""classical_shadow_0.40"", 3], [""docres_binarization"", 3], [""binary_docres_blend_0.75"", 3], [""binary_input_blend_0.75"", 2], [""classical_shadow_0.25"", 2], [""classical_shadow_0.55"", 2], [""docres_input_blend_0.85"", 1], [""docres_input_blend_0.70"", 1], [""docres_appearance"", 1], [""binary_input_blend_0.90"", 1], [""docres_input_blend_0.90"", 1]]",0,False
MLP evidence seed1,113,24.95040412617397,0.8896894330999493,0.3600739493969423,"[[""docres_classical040_blend_0.95"", 23], [""docres_deshadow"", 17], [""docres_input_blend_0.95"", 11], [""docres_classical040_blend_0.80"", 8], [""docres_classical040_blend_0.90"", 8], [""docres_classical040_blend_0.70"", 7], [""docres_input_blend_0.70"", 6], [""classical_shadow_0.40"", 6], [""docres_classical040_blend_0.85"", 5], [""classical_shadow_0.70"", 4], [""docres_appearance"", 4], [""classical_shadow_0.25"", 3], [""input"", 3], [""binary_input_blend_0.75"", 3], [""docres_input_blend_0.80"", 2], [""binary_docres_blend_0.75"", 1], [""docres_input_blend_0.85"", 1], [""docres_binarization"", 1]]",1,False
MLP evidence seed2,113,25.178441802182085,0.8894441053930637,0.36608370231968956,"[[""docres_deshadow"", 24], [""docres_classical040_blend_0.95"", 19], [""docres_classical040_blend_0.70"", 13], [""docres_classical040_blend_0.85"", 10], [""docres_classical040_blend_0.80"", 8], [""classical_shadow_0.40"", 6], [""classical_shadow_0.25"", 5], [""docres_input_blend_0.95"", 5], [""input"", 4], [""classical_shadow_0.55"", 4], [""classical_shadow_0.70"", 3], [""binary_input_blend_0.75"", 3], [""docres_classical040_blend_0.90"", 3], [""docres_input_blend_0.70"", 1], [""binary_docres_blend_0.90"", 1], [""binary_docres_blend_0.75"", 1], [""binary_input_blend_0.90"", 1], [""docres_binarization"", 1], [""docres_input_blend_0.85"", 1]]",2,False
MLP evidence seed3,113,25.08882266310756,0.8857698559233572,0.3592006954711042,"[[""docres_classical040_blend_0.95"", 27], [""docres_classical040_blend_0.70"", 22], [""input"", 8], [""docres_deshadow"", 8], [""classical_shadow_0.40"", 6], [""docres_input_blend_0.95"", 6], [""classical_shadow_0.70"", 5], [""docres_classical040_blend_0.85"", 5], [""docres_input_blend_0.70"", 4], [""docres_classical040_blend_0.80"", 4], [""classical_shadow_0.55"", 3], [""docres_input_blend_0.80"", 3], [""binary_input_blend_0.75"", 3], [""docres_classical040_blend_0.90"", 3], [""docres_input_blend_0.85"", 2], [""docres_binarization"", 2], [""binary_docres_blend_0.90"", 1], [""classical_shadow_0.25"", 1]]",3,False
MLP evidence seed4,113,24.98594264955555,0.8855746285577791,0.3605339818639253,"[[""docres_classical040_blend_0.95"", 19], [""docres_deshadow"", 18], [""docres_classical040_blend_0.70"", 12], [""docres_input_blend_0.95"", 9], [""docres_classical040_blend_0.80"", 8], [""classical_shadow_0.40"", 8], [""input"", 7], [""docres_classical040_blend_0.90"", 7], [""classical_shadow_0.70"", 5], [""classical_shadow_0.25"", 4], [""docres_classical040_blend_0.85"", 4], [""binary_input_blend_0.75"", 3], [""classical_shadow_0.55"", 2], [""binary_docres_blend_0.90"", 2], [""docres_input_blend_0.70"", 2], [""docres_input_blend_0.85"", 1], [""docres_appearance"", 1], [""docres_binarization"", 1]]",4,False
MLP evidence seed5,113,25.233816309289534,0.8900264862891847,0.3646966203930835,"[[""docres_classical040_blend_0.95"", 25], [""docres_deshadow"", 24], [""docres_classical040_blend_0.70"", 11], [""input"", 8], [""classical_shadow_0.40"", 6], [""docres_classical040_blend_0.80"", 6], [""docres_input_blend_0.95"", 6], [""docres_input_blend_0.70"", 5], [""docres_classical040_blend_0.85"", 5], [""classical_shadow_0.70"", 4], [""classical_shadow_0.55"", 3], [""binary_input_blend_0.75"", 3], [""classical_shadow_0.25"", 2], [""binary_docres_blend_0.90"", 2], [""docres_classical040_blend_0.90"", 2], [""docres_binarization"", 1]]",5,False
MLP evidence seed6,113,25.02943865522442,0.8863897790423537,0.356581424990893,"[[""docres_deshadow"", 26], [""docres_classical040_blend_0.95"", 19], [""docres_input_blend_0.95"", 11], [""classical_shadow_0.40"", 10], [""docres_classical040_blend_0.70"", 10], [""input"", 5], [""classical_shadow_0.70"", 5], [""docres_classical040_blend_0.85"", 5], [""docres_classical040_blend_0.80"", 4], [""docres_input_blend_0.70"", 3], [""binary_input_blend_0.75"", 3], [""docres_classical040_blend_0.90"", 3], [""classical_shadow_0.55"", 2], [""classical_shadow_0.25"", 2], [""docres_appearance"", 2], [""docres_input_blend_0.80"", 1], [""docres_binarization"", 1], [""binary_docres_blend_0.75"", 1]]",6,False
MLP evidence seed7,113,24.99027961983493,0.8877789014208634,0.37887915433326547,"[[""docres_deshadow"", 29], [""docres_classical040_blend_0.95"", 18], [""docres_classical040_blend_0.80"", 9], [""docres_classical040_blend_0.70"", 7], [""docres_input_blend_0.95"", 7], [""classical_shadow_0.25"", 6], [""docres_classical040_blend_0.90"", 6], [""classical_shadow_0.40"", 6], [""binary_input_blend_0.75"", 4], [""docres_classical040_blend_0.85"", 4], [""input"", 3], [""binary_docres_blend_0.90"", 3], [""classical_shadow_0.55"", 2], [""classical_shadow_0.70"", 2], [""docres_binarization"", 2], [""docres_input_blend_0.80"", 2], [""docres_input_blend_0.85"", 1], [""docres_input_blend_0.70"", 1], [""docres_input_blend_0.90"", 1]]",7,False
MLP evidence seed8,113,25.21092086672394,0.887292986158776,0.35198885688605497,"[[""docres_classical040_blend_0.95"", 22], [""docres_deshadow"", 17], [""docres_classical040_blend_0.70"", 10], [""input"", 9], [""docres_input_blend_0.95"", 9], [""docres_classical040_blend_0.90"", 8], [""classical_shadow_0.70"", 7], [""classical_shadow_0.40"", 7], [""docres_classical040_blend_0.85"", 7], [""classical_shadow_0.25"", 5], [""docres_classical040_blend_0.80"", 4], [""docres_input_blend_0.90"", 2], [""docres_appearance"", 1], [""docres_input_blend_0.80"", 1], [""docres_input_blend_0.70"", 1], [""binary_docres_blend_0.75"", 1], [""binary_input_blend_0.90"", 1], [""classical_shadow_0.55"", 1]]",8,False
MLP evidence seed9,113,25.148938249329532,0.8899965718784163,0.37179974226178236,"[[""docres_classical040_blend_0.95"", 25], [""docres_deshadow"", 16], [""docres_classical040_blend_0.80"", 9], [""docres_classical040_blend_0.70"", 9], [""docres_input_blend_0.95"", 8], [""classical_shadow_0.40"", 7], [""docres_classical040_blend_0.90"", 7], [""classical_shadow_0.25"", 5], [""classical_shadow_0.70"", 5], [""input"", 4], [""binary_input_blend_0.75"", 4], [""classical_shadow_0.55"", 4], [""docres_input_blend_0.70"", 3], [""docres_classical040_blend_0.85"", 3], [""docres_binarization"", 2], [""docres_input_blend_0.80"", 1], [""docres_input_blend_0.85"", 1]]",9,False
MLP prior seed0,113,25.202505041356293,0.8892026588452601,0.36769230791957946,"[[""docres_classical040_blend_0.95"", 16], [""docres_classical040_blend_0.70"", 14], [""docres_classical040_blend_0.85"", 13], [""docres_classical040_blend_0.80"", 12], [""docres_input_blend_0.95"", 11], [""classical_shadow_0.40"", 10], [""docres_input_blend_0.70"", 6], [""docres_deshadow"", 5], [""classical_shadow_0.55"", 4], [""classical_shadow_0.70"", 4], [""input"", 4], [""classical_shadow_0.25"", 4], [""docres_binarization"", 3], [""docres_input_blend_0.85"", 2], [""docres_classical040_blend_0.90"", 2], [""binary_input_blend_0.90"", 1], [""binary_docres_blend_0.75"", 1], [""binary_docres_blend_0.90"", 1]]",0,True
MLP prior seed1,113,25.312689365797,0.8899362551427521,0.3526024982648938,"[[""docres_classical040_blend_0.95"", 19], [""docres_classical040_blend_0.80"", 13], [""docres_classical040_blend_0.70"", 12], [""docres_deshadow"", 12], [""docres_input_blend_0.95"", 10], [""classical_shadow_0.40"", 9], [""input"", 7], [""docres_classical040_blend_0.85"", 7], [""docres_input_blend_0.70"", 5], [""docres_binarization"", 4], [""docres_classical040_blend_0.90"", 3], [""classical_shadow_0.70"", 2], [""classical_shadow_0.25"", 2], [""classical_shadow_0.55"", 2], [""binary_input_blend_0.75"", 2], [""docres_input_blend_0.90"", 2], [""docres_appearance"", 1], [""docres_input_blend_0.85"", 1]]",1,True
