comparison,metric,n,mean_delta,ci_low,ci_high,paired_t_p,wilcoxon_p,cohen_dz,win_rate
raw_prior vs evidence,PSNR,113,0.0286725589365614,-0.24785012009729246,0.35534318941652704,0.8518878349431818,0.7538668500616501,0.017604845054930877,0.1415929203539823
raw_prior vs evidence,SSIM,113,0.0018885114551645465,-0.0034242456597564494,0.008018517362332977,0.5188908261317662,0.5566018657073668,0.060874114926155326,0.13274336283185842
raw_prior vs evidence,VCCRP,113,0.0045026253572884615,-0.006516659882398595,0.01832557920105346,0.4875406634859991,0.8600041316346514,0.06552393748584888,0.1415929203539823
compat_full vs evidence,PSNR,113,0.02928106604994982,-0.24569809150476904,0.3550404585104112,0.8483219374683355,0.6486728437683009,0.018033906090498278,0.17699115044247787
compat_full vs evidence,SSIM,113,0.0012164891293618531,-0.004244020660366632,0.007425540039497136,0.670363695941717,0.2263885523962469,0.040147454008451176,0.18584070796460178
compat_full vs evidence,VCCRP,113,-0.0009970120006523608,-0.009393413215989055,0.008124697221722694,0.8210284361491343,0.4507846162481117,-0.02133121576962838,0.17699115044247787
compat_full vs raw_prior,PSNR,113,0.000608507113388421,-0.025663081981098273,0.026622607815616716,0.9639721374719927,0.7651984444971875,0.004258711834155722,0.10619469026548672
compat_full vs raw_prior,SSIM,113,-0.0006720223258026933,-0.0023814141354729645,0.0003409790386140863,0.39756701709948494,0.7368753708069717,-0.07988847562604663,0.10619469026548672
compat_full vs raw_prior,VCCRP,113,-0.005499637357940821,-0.015992421072112354,0.00022310267679555743,0.26254336314280274,0.16718404068982073,-0.10593167080742795,0.10619469026548672
compat_policy vs evidence,PSNR,113,0.028122395786128913,-0.24472516215039006,0.349398543716446,0.8527799912209846,0.9531196641542745,0.01749755584153169,0.12389380530973451
compat_policy vs evidence,SSIM,113,0.0010683246418438127,-0.004389097455856019,0.0072736975234166685,0.7084522876615413,0.5566018657073668,0.035266549050520915,0.1415929203539823
compat_policy vs evidence,VCCRP,113,-0.0005273092793436853,-0.008791791228943044,0.008515281357203202,0.9033652223875743,0.6521909795586408,-0.011447320085393176,0.13274336283185842
compat_policy vs raw_prior,PSNR,113,-0.0005501631504324829,-0.015486504861479742,0.014689206019099127,0.9432007568821119,0.9593536340401635,-0.006717457122545867,0.035398230088495575
compat_policy vs raw_prior,SSIM,113,-0.0008201868133207338,-0.002440044389361829,2.766815961989672e-05,0.2943376370189199,0.6464622026641696,-0.09911355380242125,0.05309734513274336
compat_policy vs raw_prior,VCCRP,113,-0.005029934636632145,-0.014857511250320012,-1.8088753245044734e-05,0.30080973920740783,0.1688069535565081,-0.09778821828525212,0.05309734513274336
compat_risk_strength vs evidence,PSNR,113,-0.013334316462374473,-0.2912697266537492,0.3105947416944527,0.9307503556912847,0.7259795776709994,-0.00819334694093715,0.168141592920354
compat_risk_strength vs evidence,SSIM,113,0.0019913901269963358,-0.0033515487756349345,0.008137265863144288,0.4971090802234467,0.4070020039218857,0.06408816179929963,0.1592920353982301
compat_risk_strength vs evidence,VCCRP,113,0.0047506450800981846,-0.006245238678721492,0.018545126723255253,0.4633820038821933,0.5668253161750856,0.06921957526118358,0.12389380530973451
compat_risk_strength vs raw_prior,PSNR,113,-0.04200687539893587,-0.17900746704301757,0.040078920414304345,0.49222129881676635,0.681322326150025,-0.06481969594560925,0.09734513274336283
compat_risk_strength vs raw_prior,SSIM,113,0.00010287867183178927,-0.00011979937553405761,0.0004286865349364491,0.47694443811767484,0.7089053094753638,0.06713205474346386,0.10619469026548672
compat_risk_strength vs raw_prior,VCCRP,113,0.0002480197228097224,-0.0002843511025313554,0.0009060776696969942,0.4170831473401688,0.5015913016269502,0.07662235843584973,0.07079646017699115
compat_balanced vs evidence,PSNR,113,0.039799151492675724,-0.23277103709860036,0.36095695241167086,0.7931716367747333,0.4405215911492053,0.024724091174938716,0.1592920353982301
compat_balanced vs evidence,SSIM,113,0.0011051945981726183,-0.00434364613178557,0.007327556966152866,0.6990100891153695,0.29894375201959067,0.03646713406288443,0.1592920353982301
compat_balanced vs evidence,VCCRP,113,-0.0011618172641277753,-0.009539917368596962,0.007954296272138813,0.7917850260653619,0.38203416302245696,-0.024893789416907806,0.1415929203539823
compat_balanced vs raw_prior,PSNR,113,0.011126592556114328,-0.008749226622131638,0.03138937031375465,0.2811041612925707,0.28597919066405664,0.10188652499111012,0.09734513274336283
compat_balanced vs raw_prior,SSIM,113,-0.0007833168569919282,-0.0024155219571780316,8.610075553961555e-05,0.3171738355413273,0.44598168917699166,-0.09452074063367281,0.11504424778761062
compat_balanced vs raw_prior,VCCRP,113,-0.005664442621416237,-0.016099601885025145,5.960571749009746e-06,0.24803580182367838,0.13297131332886625,-0.10923503030119329,0.09734513274336283
