comparison,metric,n,mean_delta,ci_low,ci_high,paired_t_p,wilcoxon_p,win_rate
osr val: raw_prior vs evidence,PSNR,46,0.0638315796446844,-0.0078670421175257,0.1602473490511999,0.1544054754890805,0.1380107375686595,0.0869565217391304
osr val: raw_prior vs evidence,SSIM,46,-0.000113159418106,-0.0003763670182746,0.0001575907935266,0.416683855475878,0.5001842570707944,0.0217391304347826
osr val: raw_prior vs evidence,VCCRP,46,-0.0023144255826743,-0.0046304078633948,-0.0005932362716374,0.038461876810917,0.0431144467830753,0.108695652173913
osr val: raw_prior vs evidence,Harm,46,0.0217391304347826,0.0,0.0652173913043478,0.3226576522499613,0.3173105078629141,0.0
osr val: compat_prior vs evidence,PSNR,46,0.0621928856743395,-0.0097672952319749,0.1588105139836294,0.1658047073701501,0.1729549179884206,0.0869565217391304
osr val: compat_prior vs evidence,SSIM,46,-0.0001706131126569,-0.0004564683722413,0.000120337890542,0.2568282597992222,0.3454475304692257,0.0217391304347826
osr val: compat_prior vs evidence,VCCRP,46,-0.0028379111945088,-0.0053475321573226,-0.0008344202944114,0.0205914744676172,0.0277078493580798,0.1304347826086956
osr val: compat_prior vs evidence,Harm,46,0.0217391304347826,0.0,0.0652173913043478,0.3226576522499613,0.3173105078629141,0.0
osr val: compat_prior vs raw_prior,PSNR,46,-0.0016386939703448,-0.0049160819110346,0.0,0.3226576522499613,0.3173105078629141,0.0
osr val: compat_prior vs raw_prior,SSIM,46,-5.74536945508874e-05,-0.0001723610836526,0.0,0.3226576522499611,0.3173105078629141,0.0
osr val: compat_prior vs raw_prior,VCCRP,46,-0.0005234856118345,-0.0015704568355036,0.0,0.3226576522499614,0.3173105078629141,0.0217391304347826
osr val: compat_prior vs raw_prior,Harm,46,0.0,0.0,0.0,,,0.0
