"dataset","sample_id","source_page_id","split"
"compound_proxy","000000_jung_001_v00","jung_001","train"
"compound_proxy","000000_jung_001_v01","jung_001","train"
"compound_proxy","000001_jung_002_v00","jung_002","train"
"compound_proxy","000001_jung_002_v01","jung_002","train"
"compound_proxy","000002_jung_003_v00","jung_003","train"
"compound_proxy","000002_jung_003_v01","jung_003","train"
"compound_proxy","000003_jung_004_v00","jung_004","train"
"compound_proxy","000003_jung_004_v01","jung_004","train"
"compound_proxy","000004_jung_005_v00","jung_005","val"
"compound_proxy","000004_jung_005_v01","jung_005","val"
"compound_proxy","000005_jung_006_v00","jung_006","val"
"compound_proxy","000005_jung_006_v01","jung_006","val"
"compound_proxy","000006_jung_007_v00","jung_007","train"
"compound_proxy","000006_jung_007_v01","jung_007","train"
"compound_proxy","000007_jung_008_v00","jung_008","train"
"compound_proxy","000007_jung_008_v01","jung_008","train"
"compound_proxy","000008_jung_009_v00","jung_009","train"
"compound_proxy","000008_jung_009_v01","jung_009","train"
"compound_proxy","000009_jung_010_v00","jung_010","train"
"compound_proxy","000009_jung_010_v01","jung_010","train"
"compound_proxy","000010_jung_011_v00","jung_011","train"
"compound_proxy","000010_jung_011_v01","jung_011","train"
"compound_proxy","000011_jung_012_v00","jung_012","train"
"compound_proxy","000011_jung_012_v01","jung_012","train"
"compound_proxy","000012_jung_013_v00","jung_013","train"
"compound_proxy","000012_jung_013_v01","jung_013","train"
"compound_proxy","000013_jung_014_v00","jung_014","val"
"compound_proxy","000013_jung_014_v01","jung_014","val"
"compound_proxy","000014_jung_015_v00","jung_015","train"
"compound_proxy","000014_jung_015_v01","jung_015","train"
"compound_proxy","000015_jung_016_v00","jung_016","train"
"compound_proxy","000015_jung_016_v01","jung_016","train"
"compound_proxy","000016_jung_017_v00","jung_017","val"
"compound_proxy","000016_jung_017_v01","jung_017","val"
"compound_proxy","000017_jung_018_v00","jung_018","train"
"compound_proxy","000017_jung_018_v01","jung_018","train"
"compound_proxy","000018_jung_019_v00","jung_019","train"
"compound_proxy","000018_jung_019_v01","jung_019","train"
"compound_proxy","000019_jung_020_v00","jung_020","train"
"compound_proxy","000019_jung_020_v01","jung_020","train"
"compound_proxy","000020_jung_021_v00","jung_021","train"
"compound_proxy","000020_jung_021_v01","jung_021","train"
"compound_proxy","000021_jung_022_v00","jung_022","train"
"compound_proxy","000021_jung_022_v01","jung_022","train"
"compound_proxy","000022_jung_023_v00","jung_023","train"
"compound_proxy","000022_jung_023_v01","jung_023","train"
"compound_proxy","000023_jung_024_v00","jung_024","val"
"compound_proxy","000023_jung_024_v01","jung_024","val"
"compound_proxy","000024_jung_025_v00","jung_025","train"
"compound_proxy","000024_jung_025_v01","jung_025","train"
"compound_proxy","000025_jung_026_v00","jung_026","val"
"compound_proxy","000025_jung_026_v01","jung_026","val"
"compound_proxy","000026_jung_027_v00","jung_027","train"
"compound_proxy","000026_jung_027_v01","jung_027","train"
"compound_proxy","000027_jung_028_v00","jung_028","train"
"compound_proxy","000027_jung_028_v01","jung_028","train"
"compound_proxy","000028_jung_029_v00","jung_029","train"
"compound_proxy","000028_jung_029_v01","jung_029","train"
"compound_proxy","000029_jung_030_v00","jung_030","train"
"compound_proxy","000029_jung_030_v01","jung_030","train"
"compound_proxy","000030_jung_031_v00","jung_031","val"
"compound_proxy","000030_jung_031_v01","jung_031","val"
"compound_proxy","000031_jung_032_v00","jung_032","val"
"compound_proxy","000031_jung_032_v01","jung_032","val"
"compound_proxy","000032_jung_033_v00","jung_033","train"
"compound_proxy","000032_jung_033_v01","jung_033","train"
"compound_proxy","000033_jung_034_v00","jung_034","train"
"compound_proxy","000033_jung_034_v01","jung_034","train"
"compound_proxy","000034_jung_035_v00","jung_035","train"
"compound_proxy","000034_jung_035_v01","jung_035","train"
"compound_proxy","000035_jung_036_v00","jung_036","train"
"compound_proxy","000035_jung_036_v01","jung_036","train"
"compound_proxy","000036_jung_037_v00","jung_037","train"
"compound_proxy","000036_jung_037_v01","jung_037","train"
"compound_proxy","000037_jung_038_v00","jung_038","val"
"compound_proxy","000037_jung_038_v01","jung_038","val"
"compound_proxy","000038_jung_039_v00","jung_039","val"
"compound_proxy","000038_jung_039_v01","jung_039","val"
"compound_proxy","000039_jung_040_v00","jung_040","train"
"compound_proxy","000039_jung_040_v01","jung_040","train"
"compound_proxy","000040_jung_041_v00","jung_041","train"
"compound_proxy","000040_jung_041_v01","jung_041","train"
"compound_proxy","000041_jung_042_v00","jung_042","train"
"compound_proxy","000041_jung_042_v01","jung_042","train"
"compound_proxy","000042_jung_043_v00","jung_043","train"
"compound_proxy","000042_jung_043_v01","jung_043","train"
"compound_proxy","000043_jung_044_v00","jung_044","val"
"compound_proxy","000043_jung_044_v01","jung_044","val"
"compound_proxy","000044_jung_045_v00","jung_045","train"
"compound_proxy","000044_jung_045_v01","jung_045","train"
"compound_proxy","000045_jung_046_v00","jung_046","train"
"compound_proxy","000045_jung_046_v01","jung_046","train"
"compound_proxy","000046_jung_047_v00","jung_047","val"
"compound_proxy","000046_jung_047_v01","jung_047","val"
"compound_proxy","000047_jung_048_v00","jung_048","train"
"compound_proxy","000047_jung_048_v01","jung_048","train"
"compound_proxy","000048_jung_049_v00","jung_049","train"
"compound_proxy","000048_jung_049_v01","jung_049","train"
"compound_proxy","000049_jung_050_v00","jung_050","train"
"compound_proxy","000049_jung_050_v01","jung_050","train"
"compound_proxy","000050_jung_051_v00","jung_051","val"
"compound_proxy","000050_jung_051_v01","jung_051","val"
"compound_proxy","000051_jung_052_v00","jung_052","val"
"compound_proxy","000051_jung_052_v01","jung_052","val"
"compound_proxy","000052_jung_053_v00","jung_053","train"
"compound_proxy","000052_jung_053_v01","jung_053","train"
"compound_proxy","000053_jung_054_v00","jung_054","train"
"compound_proxy","000053_jung_054_v01","jung_054","train"
"compound_proxy","000054_jung_055_v00","jung_055","train"
"compound_proxy","000054_jung_055_v01","jung_055","train"
"compound_proxy","000055_jung_056_v00","jung_056","train"
"compound_proxy","000055_jung_056_v01","jung_056","train"
"compound_proxy","000056_jung_057_v00","jung_057","train"
"compound_proxy","000056_jung_057_v01","jung_057","train"
"compound_proxy","000057_jung_058_v00","jung_058","val"
"compound_proxy","000057_jung_058_v01","jung_058","val"
"compound_proxy","000058_jung_059_v00","jung_059","train"
"compound_proxy","000058_jung_059_v01","jung_059","train"
"compound_proxy","000059_jung_060_v00","jung_060","train"
"compound_proxy","000059_jung_060_v01","jung_060","train"
"dibco18","dibco18_001","dibco18_001","val"
"dibco18","dibco18_002","dibco18_002","train"
"dibco18","dibco18_003","dibco18_003","train"
"dibco18","dibco18_004","dibco18_004","train"
"dibco18","dibco18_005","dibco18_005","train"
"dibco18","dibco18_006","dibco18_006","train"
"dibco18","dibco18_007","dibco18_007","val"
"dibco18","dibco18_008","dibco18_008","val"
"dibco18","dibco18_009","dibco18_009","train"
"dibco18","dibco18_010","dibco18_010","train"
"dibco19","dibco19_a_001","dibco19_a_001","train"
"dibco19","dibco19_a_002","dibco19_a_002","train"
"dibco19","dibco19_a_003","dibco19_a_003","train"
"dibco19","dibco19_a_004","dibco19_a_004","train"
"dibco19","dibco19_a_005","dibco19_a_005","train"
"dibco19","dibco19_a_006","dibco19_a_006","train"
"dibco19","dibco19_a_007","dibco19_a_007","train"
"dibco19","dibco19_a_008","dibco19_a_008","val"
"dibco19","dibco19_a_009","dibco19_a_009","train"
"dibco19","dibco19_a_010","dibco19_a_010","train"
"dibco19","dibco19_b_011","dibco19_b_011","train"
"dibco19","dibco19_b_012","dibco19_b_012","train"
"dibco19","dibco19_b_013","dibco19_b_013","train"
"dibco19","dibco19_b_014","dibco19_b_014","train"
"dibco19","dibco19_b_015","dibco19_b_015","train"
"dibco19","dibco19_b_016","dibco19_b_016","train"
"dibco19","dibco19_b_017","dibco19_b_017","train"
"dibco19","dibco19_b_018","dibco19_b_018","train"
"dibco19","dibco19_b_019","dibco19_b_019","train"
"dibco19","dibco19_b_020","dibco19_b_020","train"
"jung","jung_001","jung_001","train"
"jung","jung_002","jung_002","train"
"jung","jung_003","jung_003","val"
"jung","jung_004","jung_004","train"
"jung","jung_005","jung_005","train"
"jung","jung_006","jung_006","train"
"jung","jung_007","jung_007","train"
"jung","jung_008","jung_008","train"
"jung","jung_009","jung_009","train"
"jung","jung_010","jung_010","train"
"jung","jung_011","jung_011","train"
"jung","jung_012","jung_012","train"
"jung","jung_013","jung_013","train"
"jung","jung_014","jung_014","train"
"jung","jung_015","jung_015","train"
"jung","jung_016","jung_016","train"
"jung","jung_017","jung_017","train"
"jung","jung_018","jung_018","train"
"jung","jung_019","jung_019","train"
"jung","jung_020","jung_020","val"
"jung","jung_021","jung_021","train"
"jung","jung_022","jung_022","train"
"jung","jung_023","jung_023","train"
"jung","jung_024","jung_024","train"
"jung","jung_025","jung_025","train"
"jung","jung_026","jung_026","train"
"jung","jung_027","jung_027","train"
"jung","jung_028","jung_028","train"
"jung","jung_029","jung_029","val"
"jung","jung_030","jung_030","train"
"jung","jung_031","jung_031","train"
"jung","jung_032","jung_032","train"
"jung","jung_033","jung_033","train"
"jung","jung_034","jung_034","train"
"jung","jung_035","jung_035","train"
"jung","jung_036","jung_036","train"
"jung","jung_037","jung_037","train"
"jung","jung_038","jung_038","train"
"jung","jung_039","jung_039","train"
"jung","jung_040","jung_040","train"
"jung","jung_041","jung_041","train"
"jung","jung_042","jung_042","train"
"jung","jung_043","jung_043","train"
"jung","jung_044","jung_044","train"
"jung","jung_045","jung_045","train"
"jung","jung_046","jung_046","val"
"jung","jung_047","jung_047","train"
"jung","jung_048","jung_048","val"
"jung","jung_049","jung_049","train"
"jung","jung_050","jung_050","train"
"jung","jung_051","jung_051","train"
"jung","jung_052","jung_052","val"
"jung","jung_053","jung_053","val"
"jung","jung_054","jung_054","train"
"jung","jung_055","jung_055","train"
"jung","jung_056","jung_056","train"
"jung","jung_057","jung_057","train"
"jung","jung_058","jung_058","val"
"jung","jung_059","jung_059","train"
"jung","jung_060","jung_060","train"
"jung","jung_061","jung_061","val"
"jung","jung_062","jung_062","train"
"jung","jung_063","jung_063","val"
"jung","jung_064","jung_064","train"
"jung","jung_065","jung_065","train"
"jung","jung_066","jung_066","train"
"jung","jung_067","jung_067","val"
"jung","jung_068","jung_068","train"
"jung","jung_069","jung_069","val"
"jung","jung_070","jung_070","train"
"jung","jung_071","jung_071","train"
"jung","jung_072","jung_072","train"
"jung","jung_073","jung_073","train"
"jung","jung_074","jung_074","val"
"jung","jung_075","jung_075","val"
"jung","jung_076","jung_076","train"
"jung","jung_077","jung_077","train"
"jung","jung_078","jung_078","train"
"jung","jung_079","jung_079","train"
"jung","jung_080","jung_080","train"
"jung","jung_081","jung_081","train"
"jung","jung_082","jung_082","val"
"jung","jung_083","jung_083","train"
"jung","jung_084","jung_084","train"
"jung","jung_085","jung_085","train"
"jung","jung_086","jung_086","train"
"jung","jung_087","jung_087","train"
"kligler","natiCHW01_01","natiCHW01_01","train"
"kligler","natiCHW01_02","natiCHW01_02","train"
"kligler","natiCHW01_03","natiCHW01_03","train"
"kligler","natiCHW01_04","natiCHW01_04","train"
"kligler","natiCHW01_05","natiCHW01_05","train"
"kligler","natiCHW01_06","natiCHW01_06","val"
"kligler","natiCHW01_07","natiCHW01_07","train"
"kligler","natiCHW01_08","natiCHW01_08","train"
"kligler","natiCHW01_09","natiCHW01_09","train"
"kligler","natiCHW01_10","natiCHW01_10","train"
"kligler","natiCHW02_01","natiCHW02_01","train"
"kligler","natiCHW02_02","natiCHW02_02","train"
"kligler","natiCHW02_03","natiCHW02_03","train"
"kligler","natiCHW02_04","natiCHW02_04","val"
"kligler","natiCHW02_05","natiCHW02_05","val"
"kligler","natiCHW02_06","natiCHW02_06","train"
"kligler","natiCHW02_07","natiCHW02_07","train"
"kligler","natiCHW02_08","natiCHW02_08","train"
"kligler","natiCHW02_09","natiCHW02_09","train"
"kligler","natiCHW02_10","natiCHW02_10","train"
"kligler","natiCHW02_11","natiCHW02_11","train"
"kligler","natiCHW03_01","natiCHW03_01","train"
"kligler","natiCHW03_02","natiCHW03_02","train"
"kligler","natiCHW03_03","natiCHW03_03","train"
"kligler","natiCHW03_04","natiCHW03_04","train"
"kligler","natiCHW03_05","natiCHW03_05","val"
"kligler","natiCHW03_06","natiCHW03_06","train"
"kligler","natiCHW03_07","natiCHW03_07","train"
