dataset,sample_id,original_sample_id,split,split_rule
MixedDoc,mixeddoc_00000,010101_00988,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00001,010101_01008,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00002,010101_01162,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00003,010101_01194,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00004,010101_01220,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00005,010101_01245,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00006,010101_01247,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00007,010101_01256,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00008,010101_01275,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00009,010101_01346,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00010,010101_01434,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00011,010101_01443,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00012,010101_01446,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00013,010101_01511,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00014,010101_01517,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00015,010101_01550,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00016,010101_01557,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00017,010101_01565,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00018,010101_01614,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00019,010101_01659,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00020,010101_01662,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00021,010101_01664,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00022,010101_01717,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00023,010101_01778,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
