"dataset","sample_id","split"
"OSR","001_001","train"
"OSR","001_002","train"
"OSR","001_003","train"
"OSR","001_004","train"
"OSR","001_005","train"
"OSR","001_007","train"
"OSR","001_009","train"
"OSR","001_010","train"
"OSR","001_011","train"
"OSR","001_012","train"
"OSR","001_020","train"
"OSR","001_024","train"
"OSR","001_026","train"
"OSR","001_028","train"
"OSR","001_029","train"
"OSR","001_030","train"
"OSR","002_001","train"
"OSR","002_004","train"
"OSR","002_005","train"
"OSR","002_012","train"
"OSR","002_013","train"
"OSR","002_015","train"
"OSR","002_019","train"
"OSR","002_020","val"
"OSR","002_021","val"
"OSR","002_022","val"
"OSR","002_023","train"
"OSR","002_027","val"
"OSR","002_028","train"
"OSR","002_030","train"
"OSR","003_001","train"
"OSR","003_003","train"
"OSR","003_004","train"
"OSR","003_005","train"
"OSR","003_008","train"
"OSR","003_009","train"
"OSR","003_010","train"
"OSR","003_011","train"
"OSR","003_013","val"
"OSR","003_014","train"
"OSR","003_015","val"
"OSR","003_016","train"
"OSR","003_017","train"
"OSR","003_020","train"
"OSR","003_021","train"
"OSR","003_023","train"
"OSR","003_024","train"
"OSR","003_026","val"
"OSR","003_027","train"
"OSR","003_029","train"
"OSR","003_030","train"
"OSR","005_004","train"
"OSR","005_009","train"
"OSR","005_010","train"
"OSR","005_017","train"
"OSR","005_018","train"
"OSR","005_025","train"
"OSR","005_027","train"
"OSR","006_004","train"
"OSR","006_005","train"
"OSR","006_006","train"
"OSR","006_012","train"
"OSR","006_014","train"
"OSR","006_015","train"
"OSR","006_016","train"
"OSR","006_021","train"
"OSR","006_023","train"
"OSR","006_024","train"
"OSR","006_026","train"
"OSR","006_028","train"
"OSR","006_029","val"
"OSR","007_012","train"
"OSR","007_015","val"
"OSR","007_016","train"
"OSR","007_017","val"
"OSR","007_020","val"
"OSR","007_021","train"
"OSR","007_022","train"
"OSR","007_026","train"
"OSR","007_030","val"
"OSR","007_031","train"
"OSR","008_001","train"
"OSR","008_010","train"
"OSR","008_016","val"
"OSR","008_017","train"
"OSR","008_018","val"
"OSR","008_020","train"
"OSR","008_021","train"
"OSR","008_022","train"
"OSR","008_024","train"
"OSR","008_026","val"
"OSR","008_027","val"
"OSR","008_028","train"
"OSR","008_029","train"
"OSR","008_030","train"
"OSR","008_031","train"
"OSR","008_032","train"
"OSR","009_005","train"
"OSR","009_007","train"
"OSR","009_009","train"
"OSR","009_015","train"
"OSR","009_018","train"
"OSR","009_020","train"
"OSR","009_021","val"
"OSR","009_025","val"
"OSR","009_026","train"
"OSR","009_027","train"
"OSR","009_029","val"
"OSR","009_030","train"
"OSR","010_010","train"
"OSR","010_011","val"
"OSR","010_017","train"
"OSR","010_018","train"
"OSR","010_028","train"
"OSR","010_030","train"
"OSR","011_003","train"
"OSR","011_004","train"
"OSR","011_005","train"
"OSR","011_007","val"
"OSR","011_009","train"
"OSR","011_011","train"
"OSR","011_014","train"
"OSR","011_015","train"
"OSR","011_016","train"
"OSR","011_017","val"
"OSR","011_018","val"
"OSR","011_021","train"
"OSR","011_023","train"
"OSR","011_024","train"
"OSR","011_025","train"
"OSR","011_026","train"
"OSR","011_027","train"
"OSR","011_029","train"
"OSR","011_030","train"
"OSR","012_007","val"
"OSR","012_015","train"
"OSR","012_020","train"
"OSR","012_021","train"
"OSR","012_022","train"
